station_id,date,pm25_daily,n_rows_combined,year,month,y
KAM,2022-09-26,10.1,1,2022,9,2.3223877202902252
KAM,2022-09-27,11.4,1,2022,9,2.4423470353692043
KAM,2022-09-28,17.3,1,2022,9,2.8564702062204836
KAM,2022-09-29,13.1,1,2022,9,2.580216829592325
KAM,2022-09-30,11.8,1,2022,9,2.4765384001174837
KAM,2022-10-01,14.4,1,2022,10,2.6741486494265287
KAM,2022-10-02,16,1,2022,10,2.7788192719904172
KAM,2022-10-03,17.7,1,2022,10,2.8791984572980396
KAM,2022-10-04,16.2,1,2022,10,2.791165107812717
KAM,2022-10-05,20.6,1,2022,10,3.0301337002713233
KAM,2022-10-06,16.9,1,2022,10,2.833213344056216
KAM,2022-10-07,17.4,1,2022,10,2.8622008809294686
KAM,2022-10-08,18.9,1,2022,10,2.9444389791664403
KAM,2022-10-09,13.1,1,2022,10,2.580216829592325
KAM,2022-10-10,9.2,1,2022,10,2.23001440015921
KAM,2022-10-11,7.3,1,2022,10,2.001480000210124
KAM,2022-10-12,10.3,1,2022,10,2.341805806147327
KAM,2022-10-13,7.7,1,2022,10,2.0541237336955462
KAM,2022-10-14,11.1,1,2022,10,2.4159137783010487
KAM,2022-10-15,8.1,1,2022,10,2.1041341542702074
KAM,2022-10-16,10,1,2022,10,2.3125354238472138
KAM,2022-10-17,15.1,1,2022,10,2.7212954278522306
KAM,2022-10-18,29.6,1,2022,10,3.391147045808654
KAM,2022-10-19,43.9,1,2022,10,3.784189633918261
KAM,2022-10-20,13.4,1,2022,10,2.6026896854443837
KAM,2022-10-21,3,1,2022,10,1.1314021114911006
KAM,2022-10-22,3.2,1,2022,10,1.1939224684724346
KAM,2022-10-23,4.7,1,2022,10,1.5686159179138452
KAM,2022-10-24,8,1,2022,10,2.0918640616783932
KAM,2022-10-25,3.3,1,2022,10,1.2237754316221157
KAM,2022-10-26,4,1,2022,10,1.410986973710262
KAM,2022-10-27,2.2,1,2022,10,0.8329091229351041
KAM,2022-10-28,2.2,1,2022,10,0.8329091229351041
KAM,2022-10-29,3.1,1,2022,10,1.1631508098056809
KAM,2022-10-30,2.6,1,2022,10,0.9932517730102834
KAM,2022-10-31,2.3,1,2022,10,0.8754687373538999
KAM,2022-11-01,4.9,1,2022,11,1.6094379124341003
KAM,2022-11-02,9.7,1,2022,11,2.282382385676526
